Cidade,CodigoDaCidade
Aparecida,3502507
Arapeí,3503158
Areias,3503505
Bananal,3504909
Caçapava,3508504
Cachoeira Paulista,3508603
Campos do Jordão,3509700
Canas,3509957
Caraguatatuba,3510500
Cruzeiro,3513405
Cunha,3513603
Guaratinguetá,3518404
Igaratá,3520202
Ilhabela,3520400
Jacareí,3524402
Jambeiro,3524907
Lagoinha,3526308
Lavrinhas,3526605
Lorena,3527207
Monteiro Lobato,3531704
Natividade da Serra,3532306
Paraibuna,3535606
Pindamonhangaba,3538006
Piquete,3538501
Potim,3540754
Queluz,3541901
Redenção da Serra,3542305
Roseira,3544301
Santa Branca,3546009
Santo Antônio do Pinhal,3548203
São Bento do Sapucaí,3548609
São José do Barreiro,3549607
São José dos Campos,3549904
São Luiz do Paraitinga,3550001
São Sebastião,3550704
Silveiras,3552007
Taubaté,3554102
Tremembé,3554805
Ubatuba,3555406
